Community,Size,Organization,Direct Ratio,P2p Ratio,Influence,Rich Club,Betweenness
0,10952,ARIN,72.0%,24.0%,142.13,1.0,0.07
1,112,ARIN,4.0%,55.0%,1.05,0.58,0.0
2,8329,APNIC,9.0%,71.0%,142.89,1.0,0.03
3,3075,RIPE,4.0%,89.0%,61.9,1.0,0.01
4,16262,RIPE,7.0%,87.0%,287.95,1.0,0.12
5,381,APNIC,5.0%,3.0%,8.92,0.93,0.0
6,15678,LACNIC,10.0%,74.0%,258.62,1.0,0.12
7,811,AFRINIC,9.0%,85.0%,13.06,0.93,0.0
8,5,LACNIC,0.0%,17.0%,0.11,0.45,0.0
9,4,LACNIC,0.0%,0.0%,0.1,0.45,0.0
10,15,RIPE,24.0%,17.0%,0.47,0.58,0.0
11,33,RIPE,3.0%,4.0%,0.74,0.74,0.0
12,2971,APNIC,20.0%,13.0%,51.78,1.0,0.0
13,2,RIPE,0.0%,50.0%,0.0,0.31,0.0
14,96,RIPE,3.0%,6.0%,2.68,0.83,0.0
15,2,RIPE,0.0%,0.0%,0.0,0.31,0.0
16,2,RIPE,0.0%,0.0%,0.0,0.31,0.0
17,3,APNIC,0.0%,0.0%,0.05,0.2,0.0
18,2,RIPE,0.0%,0.0%,0.04,0.2,0.0
19,2,RIPE,0.0%,0.0%,0.03,0.2,0.0
20,5,APNIC,0.0%,0.0%,0.12,0.2,0.0
