community,size,direct_ratio,p2p_ratio,influence,log_influence,radius,rich_club,clustering,betweenness,tier1_ratio,tier2_ratio,organization,x_mds,y_mds,angle,distance
0,14153,0.07,0.86,261.74,5.571260573805233,0.0,0.0,0.34,0.15,0.0,0.0,RIPE,5.61,-3.0,331.83,6.36
1,2348,0.04,0.91,48.82,3.908968657071418,45.17,1.0,0.78,0.01,0.0,0.0,RIPE,0.76,-2.13,289.73,2.26
2,16440,0.09,0.72,250.11,5.525993162244191,1.23,1.0,0.58,0.05,0.0,0.0,LACNIC,3.0,-4.06,306.44,5.05
3,15,0.05,0.05,0.31,0.2900773083498486,143.5,0.53,1.0,0.0,0.0,0.0,RIPE,-1.39,0.67,154.39,1.54
4,10503,0.66,0.23,136.02,4.920307149300457,17.69,1.0,0.41,0.07,0.0,0.0,ARIN,-1.13,-5.23,257.82,5.35
5,493,0.05,0.06,8.08,2.208986262705613,91.36,1.0,1.0,0.0,0.0,0.0,LACNIC,-1.7,-0.67,201.53,1.83
6,8564,0.07,0.74,144.59,4.980978465189056,16.04,1.0,0.75,0.01,0.0,0.0,APNIC,1.69,-2.65,302.51,3.14
7,5452,0.36,0.6,88.34,4.492713365382252,29.31,1.0,0.49,0.08,0.0,0.0,RIPE,0.0,-3.66,270.05,3.66
8,189,0.04,0.13,1.88,1.0671463985055596,122.39,0.68,1.0,0.0,0.0,0.0,ARIN,-1.28,0.13,174.25,1.29
9,6,0.2,0.0,0.19,0.1986779749945395,145.98,0.42,1.0,0.0,0.0,0.0,RIPE,-2.0,1.01,153.13,2.24
10,8,0.09,0.0,0.24,0.2335613434021296,145.04,0.3,0.0,0.0,0.0,0.0,ARIN,0.04,1.93,88.78,1.93
11,38,0.11,0.07,1.44,0.9008212513673594,126.91,0.88,1.0,0.0,0.0,0.0,RIPE,-1.83,-0.1,183.25,1.83
12,9,0.05,0.05,0.34,0.3140323851705106,142.85,0.53,1.0,0.0,0.0,0.0,RIPE,-1.39,0.66,154.55,1.54
13,2,0.0,0.0,0.03,0.0509040158867523,150.0,0.17,0.0,0.0,0.0,0.0,RIPE,0.48,2.19,77.63,2.24
14,3,0.0,0.0,0.1,0.1202484279377024,148.12,0.3,0.0,0.0,0.0,0.0,AFRINIC,0.47,1.9,76.07,1.96
15,385,0.0,0.25,5.37,1.855617240553723,100.96,0.68,1.0,0.0,0.0,0.0,RIPE,-0.92,-0.25,194.94,0.95
16,3,0.0,0.0,0.05,0.0741409136328424,149.37,0.17,0.0,0.0,0.0,0.0,APNIC,0.49,2.18,77.44,2.23
17,2,0.0,0.0,0.03,0.0509040158867523,150.0,0.17,0.0,0.0,0.0,0.0,RIPE,0.48,2.19,77.63,2.24
18,4,0.14,0.14,0.1,0.1190774082676036,148.15,0.42,1.0,0.0,0.0,0.0,APNIC,-1.68,0.89,152.01,1.9
19,4,0.0,0.0,0.07,0.0934593445990332,148.84,0.17,0.0,0.0,0.0,0.0,APNIC,0.49,2.18,77.28,2.23
20,5,0.0,0.0,0.12,0.1367617898615574,147.67,0.17,0.0,0.0,0.0,0.0,APNIC,0.5,2.17,76.92,2.23
21,2,0.0,0.0,0.03,0.0509040158867523,150.0,0.17,0.0,0.0,0.0,0.0,APNIC,0.48,2.19,77.63,2.24
22,3,0.0,0.0,0.05,0.0741252104400564,149.37,0.3,0.0,0.0,0.0,0.0,RIPE,0.46,1.91,76.34,1.96
23,171,0.03,0.08,4.33,1.678028183371627,105.79,0.95,1.0,0.0,0.0,0.0,RIPE,-1.64,-0.44,195.17,1.7
