source_date,source_community,target_date,target_community,event_type,similarity,size_change_ratio,overlap_score
202401,0,202402,2,增加,0.6185063881208166,1.7207489491784487,
202401,2,202402,31,延续,0.7868291559694284,0.9246779767514923,
202401,1,202402,10,延续,0.8203120955070047,0.8887075718015666,
202401,3,202402,"[8, 35]",分裂,,,0.40689995071463775
202401,15,202402,,消亡,0.0,,
202401,10,202402,9,延续,0.8176,1.076,
202401,5,202402,0,减少,1.0,0.5989583333333334,
202401,13,202402,23,增加,0.9879518072289156,2.3795180722891565,
202401,4,202402,6,减少,1.0,0.23809523809523808,
202401,14,202402,44,延续,1.0,1.0,
202401,16,202402,47,延续,1.0,1.0,
202401,18,202402,53,延续,1.0,1.0,
202401,19,202402,54,延续,1.0,1.0,
202401,20,202402,55,延续,1.0,1.0,
202401,9,202402,25,延续,1.0,1.0,
202402,2,202403,4,减少,0.7037822918862053,0.7222419612719844,
202402,31,202403,6,增加,0.7293212968759981,1.3316911577337978,
202402,10,202403,0,延续,0.7433070271232832,1.0055086301872935,
202402,8,202403,"[2, 12]",分裂,,,0.41132867132867135
202402,[9],202403,3,合并,,,0.7570731707317073
202402,28,202403,7,增加,0.9814126394052045,1.5074349442379182,
202402,0,202403,1,延续,0.9910714285714286,0.9739130434782609,
202402,37,202403,5,增加,0.8222222222222222,8.466666666666667,
202402,44,202403,20,延续,1.0,1.0,
202402,53,202403,17,延续,1.0,1.0,
202402,54,202403,18,延续,1.0,1.0,
202402,55,202403,19,延续,1.0,1.0,
202402,33,202403,13,延续,1.0,1.0,
202402,51,202403,16,延续,1.0,1.0,
202403,4,202404,0,延续,0.8227704381455974,1.0509162464641495,
202403,6,202404,7,减少,0.7736987268172983,0.7338308457711443,
202403,0,202404,4,延续,0.779751739930467,1.1297479912344777,
202403,2,202404,1,增加,0.6880643750290543,1.5337975747388641,
202403,3,202404,3,增加,0.7369253957127979,1.2029268292682926,
202403,12,202404,2,减少,1.0,0.013126893301918546,
202403,7,202404,9,延续,0.8981481481481481,0.7990135635018496,
202403,1,202404,8,增加,0.9910714285714286,1.6785714285714286,
202403,14,202404,20,减少,1.0,0.020833333333333332,
202403,11,202404,15,增加,0.7272727272727273,12.545454545454545,
202403,20,202404,14,延续,1.0,1.0,
202403,17,202404,16,延续,1.0,1.0,
202403,19,202404,18,延续,1.0,1.0,
202404,0,202405,8,减少,0.7275202522148885,0.7555295494441193,
202404,1,202405,7,延续,0.5159634533566485,0.9334637964774951,
202404,4,202405,2,延续,0.8589972691224749,1.0599692879657319,
202404,7,202405,13,增加,0.8042590621705861,1.2259887005649717,
202404,3,202405,4,延续,0.8345339264343938,0.9056501757231684,
202404,9,202405,24,减少,1.0,0.004629629629629629,
202404,15,202405,15,增加,0.9855072463768116,7.1352657004830915,
202404,8,202405,9,延续,1.0,0.9946808510638298,
202404,5,202405,3,延续,1.0,1.0,
202404,12,202405,18,延续,0.8333333333333334,0.8571428571428571,
202404,14,202405,22,延续,1.0,1.0,
202404,21,202405,25,延续,1.0,1.0,
202404,16,202405,19,延续,1.0,1.0,
202404,17,202405,20,延续,1.0,1.0,
202404,18,202405,21,延续,1.0,1.0,
202404,11,202405,17,延续,1.0,1.0,
202404,22,202405,26,延续,1.0,1.0,
202405,13,202406,0,延续,0.6111649158604312,1.0197802197802197,
202405,2,202406,14,延续,0.8282088736413943,0.8770110560426992,
202405,8,202406,6,延续,0.7125004104176775,1.076827757125155,
202405,4,202406,[3],分裂,,,0.6035820895522388
202405,"[7, 15]",202406,7,合并,,,0.6129032258064516
202405,9,202406,11,延续,1.0,0.8823529411764706,
202405,0,202406,30,减少,1.0,0.6451612903225806,
202405,6,202406,5,减少,1.0,0.6666666666666666,
202405,3,202406,4,延续,1.0,1.0,
202405,22,202406,28,延续,1.0,1.0,
202405,25,202406,31,延续,1.0,1.0,
202405,19,202406,24,延续,1.0,1.0,
202405,24,202406,29,延续,1.0,1.0,
202405,20,202406,25,延续,1.0,1.0,
202405,21,202406,26,延续,1.0,1.0,
202405,17,202406,23,延续,1.0,1.0,
202405,26,202406,32,延续,1.0,1.0,
202406,7,202407,0,减少,0.5923046184973159,0.7815779246016323,
202406,0,202407,14,延续,0.8342461256997482,1.0208565072302558,
202406,6,202407,4,延续,0.7435402351146729,0.8560126582278481,
202406,14,202407,3,延续,0.8376758313079671,1.1078942792557815,
202406,,202407,5,新生,0.0,,
202406,3,202407,8,延续,0.9083793738489871,1.033609576427256,
202406,11,202407,6,延续,1.0,1.006060606060606,
202406,19,202407,11,延续,0.9764705882352941,1.011764705882353,
202406,30,202407,26,延续,0.8301886792452831,0.8833333333333333,
202406,9,202407,18,增加,0.9534883720930233,8.69767441860465,
202406,17,202407,7,延续,1.0,1.1904761904761905,
202406,4,202407,1,延续,1.0,1.0,
202406,5,202407,9,延续,1.0,1.0,
202406,28,202407,17,延续,1.0,1.0,
202406,27,202407,23,延续,1.0,1.0,
202406,24,202407,20,延续,1.0,1.0,
202406,29,202407,25,延续,1.0,1.0,
202406,25,202407,21,延续,1.0,1.0,
202406,26,202407,22,延续,1.0,1.0,
202406,23,202407,16,延续,1.0,1.0,
202406,32,202407,27,延续,1.0,1.0,
202407,14,202408,13,延续,0.7764791353898077,0.8787796240806319,
202407,3,202408,2,延续,0.8308170743672619,0.950482617907871,
202407,0,202408,0,增加,0.6465832899924416,1.218879496104757,
202407,4,202408,15,增加,0.7920676138736107,1.237691144345488,
202407,[8],202408,21,合并,,,0.6676337846550613
202407,5,202408,,消亡,0.0,,
202407,18,202408,22,延续,0.9946524064171123,1.032085561497326,
202407,6,202408,3,减少,1.0,0.5421686746987951,
202407,11,202408,23,延续,1.0,1.1046511627906976,
202407,1,202408,4,延续,1.0,1.0,
202407,9,202408,9,延续,1.0,1.0,
202407,17,202408,20,延续,1.0,1.0,
202407,20,202408,24,延续,1.0,1.0,
202407,25,202408,27,延续,1.0,1.0,
202407,29,202408,28,延续,1.0,1.0,
202407,15,202408,18,延续,1.0,1.0,
202407,21,202408,25,延续,1.0,1.0,
202407,22,202408,26,延续,1.0,1.0,
202407,16,202408,19,延续,1.0,1.0,
202408,15,202409,0,延续,0.7972100184122863,0.9607630167673613,
202408,0,202409,6,减少,0.6519765427396116,0.5823077446114096,
202408,13,202409,2,增加,0.5054438921194658,1.2740235585864848,
202408,2,202409,4,延续,0.7461890417953057,0.8671565389696169,
202408,21,202409,"[1, 7]",分裂,,,0.8320438426821406
202408,22,202409,15,延续,0.9506493506493506,0.9974093264248705,
202408,23,202409,21,减少,1.0,0.021052631578947368,
202408,3,202409,8,增加,1.0,2.1,
202408,6,202409,11,延续,0.631578947368421,0.8636363636363636,
202408,5,202409,12,减少,1.0,0.3333333333333333,
202408,4,202409,10,延续,1.0,1.0,
202408,9,202409,9,延续,1.0,1.0,
202408,20,202409,20,延续,1.0,1.0,
202408,24,202409,16,延续,1.0,1.0,
202408,27,202409,22,延续,1.0,1.0,
202408,26,202409,17,延续,1.0,1.0,
202408,19,202409,13,延续,1.0,1.0,
202409,2,202410,13,增加,0.6809916478750403,1.2384428223844282,
202409,0,202410,11,增加,0.6346775157835747,1.3830989896135095,
202409,4,202410,8,增加,0.6744672121008537,1.612491669046939,
202409,6,202410,"[2, 32]",分裂,,,0.7156702475478749
202409,7,202410,,消亡,0.0,,
202409,,202410,20,新生,0.0,,
202409,1,202410,5,减少,0.6666666666666666,0.010221465076660987,
202409,15,202410,31,增加,0.9766233766233766,1.3246753246753247,
202409,8,202410,17,延续,0.8835978835978836,1.0158730158730158,
202409,23,202410,7,增加,0.5672514619883041,1.391812865497076,
202409,11,202410,9,延续,0.6857142857142857,0.9210526315789473,
202409,3,202410,0,增加,0.5333333333333333,4.4,
202409,10,202410,23,延续,1.0,1.0,
202409,14,202410,38,增加,1.0,11.0,
