202401,202402,202403,202404,202405,202406,202407,202408,202409,202410
111,107,3,4,6,84,2,0,18,2
36,17,22,5,3,0,0,25,-1,31
90,2,5,9,64,16,12,11,10,4
7,10,21,6,0,5,3,105,14,18
35,0,1,2,24,2,4,26,1,-1
0,49,26,3,4,9,52,20,20,1
52,29,36,99,-1,71,14,31,92,-1
9,1,-1,1,-1,-1,-1,7,-1,12
97,23,83,17,-1,13,55,47,79,23
1,30,29,-1,39,1,10,41,83,27
20,36,-1,24,-1,-1,-1,-1,-1,-1
11,13,12,-1,-1,7,-1,3,3,-1
22,14,-1,109,9,-1,39,-1,-1,76
101,-1,-1,7,40,-1,-1,-1,-1,-1
38,21,-1,37,-1,-1,18,42,36,-1
27,-1,37,27,-1,-1,-1,-1,7,-1
69,-1,28,18,-1,3,-1,-1,17,19
81,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,8,6,13,42,4,38,12,13,7
10,4,-1,0,-1,-1,6,-1,-1,-1
